country,hazard,rp,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Tonga,flood,50.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,flood,100.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,flood,250.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,flood,500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,flood,1000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,flood,1500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,flood,2000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,surge,1.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,surge,20.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,surge,50.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,surge,100.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,,,,0.0,266.36336,,,
Tonga,surge,250.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,0.0,0.0,0.0,0.0,266.36336,0.0,0.0,
Tonga,surge,500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,0.0,0.0,0.0,0.0,266.36336,0.0,0.0,
Tonga,surge,1000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,0.0,0.0,0.0,0.0,266.36336,0.0,0.0,
Tonga,surge,1500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,0.0,0.0,0.0,0.0,266.36336,0.0,0.0,
Tonga,surge,2000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,0.0,0.0,0.0,0.0,266.36336,0.0,0.0,
Tonga,tsunami,1.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,0.4767345273135493,0.00012129752604078678,0.0,0.0,266.36336,0.11543455514902828,0.11543455514902828,951.6645468120507
Tonga,tsunami,20.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,0.5959181591419367,0.00015162190755098348,0.0,0.0,266.36336,0.14429319393628537,0.14429319393628537,951.6645468120507
Tonga,tsunami,50.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,5.263943739087107,0.0013393268500336878,0.0,0.0,266.36336,1.2745898797705206,1.2745898797705206,951.6645468120506
Tonga,tsunami,100.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,9.147317243254264,0.002327389538511904,0.0,0.0,266.36336,2.214894110423039,2.214894110423039,951.6645468120507
Tonga,tsunami,250.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,27.03987185093843,0.006879865778678046,0.0,0.0,266.36336,6.54732434839338,6.54732434839338,951.6645468120507
Tonga,tsunami,500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,78.80765624957522,0.020051356024102563,0.0,0.0,266.36336,19.08216464364465,19.08216464364465,951.664546812051
Tonga,tsunami,1000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,441.78526685826915,0.11240524199736064,0.0,0.0,266.36336,106.97208368471712,106.97208368471712,951.6645468120508
Tonga,tsunami,1500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,871.8096972609255,0.22181812601663448,0.0,0.0,266.36336,211.09644637031886,211.09644637031886,951.6645468120508
Tonga,tsunami,2000.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,726.7593809750367,0.18491237762023152,0.0,0.0,266.36336,175.97455404789642,175.97455404789642,951.6645468120508
Tonga,wind,1.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,30.798475115295826,0.007836182662006122,0.0,0.0,266.36336,7.457417221774506,7.457417221774506,951.6645468120507
Tonga,wind,20.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,239.21247382615752,0.060863813319158994,0.0,0.0,266.36336,57.9219333196307,57.9219333196307,951.6645468120507
Tonga,wind,50.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,861.2185558944531,0.21912337836967757,0.0,0.0,266.36336,208.53195057210468,208.53195057210468,951.6645468120507
Tonga,wind,100.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,4098.902804705265,0.9000000000000002,0.0,0.0,266.36336,992.4916169309921,266.36336,295.95928888888886
Tonga,wind,250.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,4952.317347509976,0.9000000000000002,0.0,0.0,266.36336,1199.1339355847456,266.36336,295.95928888888886
Tonga,wind,500.0,5327.2672,5332.472445,107122,0.067,0.23801,3688.874636,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3578357636224098,1.0,0.11782355624494474,1.0974678855867206,5755.170345552523,0.9000000000000002,0.0,0.0,266.36336,1393.5334878918754,266.36336,295.95928888888886
