country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Belarus,16752.098769999997,16742.2555,9507120,0.096,0.77046,4989.254611,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.3864445367538237,1.0,0.43562942058399995,1.308380406754342,51.53912228185441,489988620.2282637,4.94642122137079e-07,4.702622012211867,8.8600338884558,0.0350263667264,17020.13235032,51.53912228185441,67.43277777489446,67.43277777489446,51.53912228185441,4.94642122137079e-07,0.0045250089838210225,0.20319999999999996,8.860033888455801,21.801860559426434,8.860033888455797,44042.88515317351,0.6841206264046711,0.8096,0.09519006408736,0.38201599999999986,0.32113407999999993,72.96659275919751,693702153.3528218,0.0043556687290948635,0.7063386178924718,0.003076577030106325
Belgium,42094.579050000015,41945.69212,11348159,0.086,0.97897,41096.1573,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,1.0,0.48314774690999995,1.1480208379739567,24.720348330063935,280530443.38495004,5.419132884215045e-08,0.6149718161220092,0.0,0.23308162888,84694.29304860001,24.720348330063935,28.379475004888107,28.379475004888107,24.720348330063935,5.419132884215045e-08,0.00045658037883642636,0.4023999999999999,0.0,8.498351914615597,0.0,390851.9080496137,1.367241169851801,0.0,0.20529465017280005,0.6196960000000001,0.6196960000000001,31.86110292169984,361564861.8708143,0.000756893254208699,0.7758786125770772,0.0005872572879443944
Belize,7846.015831999998,7831.454486,366954,0.0321,0.43845,4810.565902,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.9615481265045698,1.0,0.15088172973340003,1.8516600728709784,78.19283433895683,28693173.332017563,4.487763864186782e-06,1.6468029010187966,0.0,0.20383034672,31415.447391328005,78.19283433895683,144.78654933006115,144.78654933006115,78.19283433895683,4.487763864186782e-06,0.035195177279394994,0.8008,0.0,11.398795957040997,0.0,32671.736884902224,2.6656970912305487,0.0,0.16002221979744005,1.234881429611466,1.234881429611466,212.21221825365777,77872122.33705273,0.027047131027718503,0.36846527962632547,0.009965928697218162
Benin,2009.961384,2009.961384,10872298,0.032,0.44395,789.4404107,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.08277983833600004,1.255298588167888,4.7829584251046064,52001749.31934797,1.816437039159323e-06,19.748844787977824,0.130297939506738,0.0331465153344,4044.0423046080004,4.7829584251046064,6.004040958299518,6.004040958299518,4.7829584251046064,1.816437039159323e-06,0.0015139187593753625,0.4023999999999999,0.130297939506738,0.7817876370404279,0.13029793950673796,12245.273660778379,1.3660827949098966,0.40480000000000005,0.031110693898240015,1.3656408157072466,1.3106893840771972,11.137212291972844,121087090.92759177,0.005541008091314079,0.4294574171448566,0.0023796270232744957
Bhutan,8253.293783000005,8105.796967,797765,0.067,0.39377,2804.000223,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.185575394278482,1.0,0.04401946709800002,1.1186265561403412,166.8815733792639,133132278.38690849,4.4421281536392026e-06,3.543774366487978,11.05025294345869,0.09720164347199999,16605.627091396007,166.8815733792639,186.67815971252764,186.67815971252764,166.8815733792639,4.4421281536392026e-06,0.0061138306652746355,0.4023999999999999,11.050252943458691,45.54845775593474,11.05025294345869,89481.83651156316,1.3585263135569168,0.6072,0.017600320409920007,1.3663742721658698,1.2839028548637708,226.62777340653076,180795705.651661,0.027459070204593327,0.7363685874454029,0.02021999673912054
Bolivia,6707.9561840000015,6707.9561840000015,10887882,0.039,0.68911,3104.956089,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.17059334626300007,1.3418117485225833,30.62153097928168,333403615.9617634,1.5069462784455688e-06,16.407453260054496,1.3950764351491498,0.110029873792,13496.407842208004,30.621530979281687,41.08833002574841,41.088330025748405,30.62153097928168,1.5069462784455688e-06,0.005166049689728332,0.4023999999999998,1.3950764351491496,5.812818479788124,1.3950764351491496,31994.579455002317,1.3596586211432728,0.6072,0.08556523962095999,0.907579739117879,0.8528001747448795,56.33270552458867,613343850.4924695,0.008397894079713126,0.5435835309901046,0.004564956916731356
Bosnia and Herzegovina,11327.487410000002,11179.34991,3516816,0.077,0.3994,4708.718261,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,1.0,0.14356445648199992,1.2493272822979196,64.30563452985284,226151084.40473893,1.2360668390583375e-06,4.347019636669786,0.0,0.04014670838879998,22790.90466892,64.30563452985282,80.33878362362428,80.33878362362428,64.30563452985284,1.2360668390583375e-06,0.004004885732212148,0.4023999999999999,0.0,27.083422739240532,0.0,70357.01419117293,1.3601464622401858,0.0,0.06227545305327996,0.9931611760976004,0.9931611760976004,101.39799919468408,356598105.93585205,0.008951499615454798,0.6341903690464945,0.005676954844644832
Botswana,15723.23706,15513.44193,2250260,0.028,0.5771,6788.042745000002,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,1.0,0.08310013303600002,1.2089389699717095,43.58397668854173,98075279.38315794,5.124828214635955e-07,1.1532195938266707,1.842126782060729,0.12321219196800001,31635.15296472,43.58397668854174,52.69036788511664,52.69036788511666,43.58397668854173,5.124828214635955e-07,0.001360571734241429,0.4023999999999999,1.842126782060729,4.33441595778995,1.842126782060729,112509.31557116714,1.3659645033213934,0.8096,0.045148606140959995,1.3144007345812754,1.2086215263589095,68.75238140533897,154710733.78117806,0.004372660740468348,0.633926793482054,0.0027719468021899637
Brazil,14023.691619999994,14023.69162,207652865,0.036000000000000004,0.8593299999999999,8649.948492,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5458333333333333,0.26557501018758395,1.0,0.21376261367200006,1.1941993145009573,25.530589912554344,5301500140.482011,3.249377673609037e-07,67.47425833919516,1.964589254515905,0.029582823638399997,14248.070685919995,25.530589912554344,30.488612972377453,30.488612972377457,25.530589912554344,3.249377673609037e-07,0.0007851387322214233,0.2031999999999999,1.964589254515905,4.152977872141666,1.9645892545159045,53649.892269066026,0.6897605042103151,0.2024,0.042094151910079994,0.6710987929249718,0.6443605260572522,36.717842378752145,7624565166.5662985,0.00261827223342438,0.6953183591018509,0.0018205327530265783
Bulgaria,17794.52661,17709.07519,7127822,0.06,0.74266,7350.795801,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,1.0,0.4390931068799999,1.2485207651457937,39.04794265134184,278326784.68497264,3.352270603163301e-07,2.389438815518065,4.553329217799598,0.0690065724144,35802.58753932,39.04794265134184,48.75216723642238,48.75216723642238,39.04794265134184,3.352270603163301e-07,0.0018857378215275116,0.4023999999999999,4.5533292177995985,9.530223944231714,4.5533292177995985,110817.00174043837,1.3651600195831244,0.8096,0.19047114464304,0.9019081559724799,0.8293251695832832,54.141239516769986,385909118.1349025,0.003042578243488883,0.7212236550152668,0.0021943794014389825
