country,gdp_pc_pp,gdp_pc_pp_A,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Ireland,63301.15414000002,62828.33917000001,4773095,0.63535,61606.48294,4,0.2,1.5,0.06,0.8,0.05,0.0,0.3875,0.31125054927451323,1.0,0.561752771728,1.3105949788590516,42.38526624750803,202308902.39964932,5.548494608460088e-08,0.26483491873167814,0.0,0.5254420200000002,316505.7707000001,42.38526624750803,55.54991712158807,55.54991712158807,42.38526624750803,5.548494608460088e-08,0.0007921560185872049,0.9999999999999998,0.0,6.604115487698305,0.0,1016884.215747526,3.3984305459454287,0.0,0.5966023244,1.3650557500000002,1.3650557500000002,60.14006799308799,287054257.8374683,0.000950062740721586,0.704775828527155,0.0006695812552448354
Israel,32688.40810000001,32612.68858,8547100,0.92205,37292.61222,4,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.3584782813615938,1.0,0.23852608171548487,1.3689777226640052,38.2441379605722,326876471.5628066,1.632784140547817e-07,1.395556932767625,0.0,0.5719240599999998,163442.0405000001,38.2441379605722,52.355372890512164,52.355372890512164,38.2441379605722,1.632784140547817e-07,0.0007564767552057776,1.0,0.0,5.789059468975251,0.0,455932.8946769235,3.3984737181219713,0.0,0.28341440195226897,2.9000000000000004,2.9000000000000004,65.65541113346076,561163364.4988024,0.0020085227439833857,0.5824978825101194,0.0011699602453437367
Italy,34699.867360000004,34620.12936,60600590,0.69116,30527.2682,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7166666666666667,0.2046119687179293,1.0,0.45754809499000015,1.17876876885008,196.71983707372667,11921338191.371708,5.876250354422079e-07,35.61042384656871,64.1913153038151,0.39287779999999994,173499.33680000002,196.71983707372658,231.887200155785,231.88720015578505,196.71983707372667,5.876250354422079e-07,0.004517683387137343,1.0,64.19131530381509,104.05142464655691,64.1913153038151,847943.2453884452,3.393537121302343,4.0,0.456810574,1.528,1.2835199999999998,258.4402236963967,15661630035.73362,0.007447873532632335,0.7611811902191503,0.005669181240170788
Jamaica,8179.62034,8190.000905,2881355,0.5503,4868.248263,4,0.2,1.5,0.06,0.8,0.05,0.6,0.4708333333333333,0.3810091134726805,1.0,0.18822421309199996,1.396830252114892,114.1588336510367,328932126.13458294,4.156645861505694e-06,11.97677233627874,9.334417439691663,0.32461760000000006,40898.1017,114.1588336510367,159.46051238991961,159.46051238991961,114.1588336510367,4.156645861505694e-06,0.015360298843119275,1.0,9.334417439691663,36.314069488877536,9.334417439691663,107341.53135403286,3.3787054176542863,3.2,0.20371065779999994,2.265503315887336,1.9755188914537567,209.23067791425237,602867859.9616207,0.025579509710380074,0.545612310723486,0.013956495400254322
Japan,38252.301139999996,38239.77129,126994511,0.93928,38894.46773,4,0.2,1.5,0.06,0.8,0.05,0.8,0.8041666666666667,0.210442533555454,1.0,0.27321243160910974,1.1859764910527832,243.79610334175933,30960766927.592197,6.043770651462785e-07,76.7525698478668,35.997770324226515,0.6147284599999998,191261.50569999998,243.79610334175928,289.13644717360154,289.1364471736014,243.79610334175933,6.043770651462785e-07,0.00698146833731231,1.0,35.997770324226515,55.95508340553345,35.997770324226515,908853.8446511356,3.3897271834391165,3.2000000000000006,0.32231825966226996,1.1191079999999998,0.9758621759999997,307.7300537460773,39080027695.48681,0.008044746187159117,0.79224014805823,0.006373370910405819
Jordan,8389.604574,8389.543336,9455802,0.83905,4087.937517,4,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.425,0.17572272222131016,1.0,0.21103353265,1.1430559915814114,16.875587620431954,159572215.17245576,4.427375613607733e-07,4.186438718190324,1.2869031290690343,0.04409607199999999,41948.022870000015,16.87558762043195,19.289741540991837,19.289741540991837,16.875587620431954,4.427375613607733e-07,0.0006310220908442799,0.9999999999999998,1.2869031290690343,6.542205523281431,1.2869031290690343,238717.12399930542,3.3989273409908387,2.4000000000000004,0.21595723899999997,2.9000000000000004,2.621600000000001,23.148693520256582,218889462.48622924,0.0027592115118269195,0.7290082097145024,0.0020114878444605884
Kazakhstan,23446.56506,23419.90558,17797032,0.5322899999999999,7510.077209,4,0.2,1.5,0.06,0.8,0.05,0.6,0.7875,0.3305707553557686,1.0,0.05961528760000001,1.334478544553484,65.4770710007859,1165297527.8672585,4.868285666258396e-07,8.6641035787542,33.41062871415278,0.097463992,117232.8253,65.4770710007859,87.3777464107539,87.3777464107539,65.4770710007859,4.868285666258396e-07,0.006360509936218263,0.9999999999999998,33.41062871415278,70.9675948777626,33.41062871415278,354637.6181215155,3.389942501512446,3.2000000000000006,0.06057474019999999,0.9381249647231472,0.8180449692385843,118.89809930853818,2116033278.1332319,0.0050710242205746015,0.5506990555910757,0.0027926082491499036
Kenya,2925.6009169999998,2925.600917,48461567,0.26055,1455.359765,4,0.2,1.5,0.06,0.8,0.05,0.8,0.4958333333333334,0.4629602731517201,1.0,0.11135125787500001,1.4981379657954528,6.313439266878871,305959160.03228134,1.2923850149849415e-06,62.63100299348875,0.6190259239355093,0.35982758000000004,14628.004585000002,6.313439266878871,9.458403060455048,9.458403060455048,6.313439266878871,1.2923850149849415e-06,0.0019879173015490436,0.9999999999999998,0.6190259239355091,1.5605695561399389,0.6190259239355093,31596.673480029134,3.397322346859376,1.6000000000000003,0.10442404899999999,3.0999999999999988,2.9016,13.915210500042784,674352905.9669269,0.004756359768410199,0.45370778019200353,0.0021579974323199433
Kiribati,1955.1553229999995,1897.812347,114395,0.44447,1449.058231,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.28394957983193275,1.0,0.08799324177200003,1.276845623678199,0.0995606768553218,11389.243628864537,2.9382887465843636e-08,0.0033612554116551827,0.0,0.0,7820.621291999996,0.09956067685532177,0.127123614533157,0.127123614533157,0.0995606768553218,2.9382887465843636e-08,3.134412668374877e-05,0.9999999999999999,0.0,0.03975548946540044,0.0,27542.288657827754,2.719938403105635,0.0,0.08841467740000004,1.9823999999999997,1.9823999999999997,0.17283869418542178,19771.882421341325,8.840151580398086e-05,0.5760323365352025,5.0922131701820725e-05
"Korea, Rep.",34985.84933,34985.849330000005,51245707,0.8259200000000001,27538.80613,4,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.9375,0.2367936221973808,1.0,0.2378575601043956,1.218551607180032,199.9727885965352,10247746932.390982,5.740018204497839e-07,29.415129108236233,45.9692137547557,0.58502682,174929.24665,199.97278859653517,243.67716293658066,243.6771629365807,199.9727885965352,5.740018204497839e-07,0.0080273141799527,0.9999999999999998,45.96921375475571,56.73807938936303,45.9692137547557,738741.3775198162,3.3888024028138295,4.0,0.27026457206121046,1.136112,0.95433408,255.56840184751687,13096783439.536108,0.007304907748184054,0.7824628833256453,0.005715819179071942
Kyrgyz Republic,3293.700997,3291.968243,6082700,0.3585,1077.036174,4,0.2,1.5,0.06,0.8,0.05,0.6,0.4833333333333333,0.5202256666410198,1.0,0.28039466617,1.5689292286664094,28.877983604564136,175656110.87148228,4.7221329890889344e-06,28.72331833273126,9.340894852436335,0.052352737999999996,16468.504985,28.877983604564136,45.307512542150036,45.307512542150036,28.877983604564136,4.7221329890889344e-06,0.02393373133160635,0.9999999999999998,9.340894852436335,32.7725343732993,9.340894852436334,31656.46380220614,3.3629366883551937,3.2000000000000006,0.2888084511999999,1.2982176603403819,1.1320457998168127,60.734807071310854,369431610.9726625,0.018439684454244605,0.47547666646339204,0.008767639694941057
Lao PDR,6073.223695,5734.586572,6758353,0.39654,2353.152875,4,0.2,1.5,0.06,0.8,0.05,0.4,0.16666666666666666,0.2472988860728427,1.0,0.14921227557599998,1.2315381746551257,212.68060690783852,1437370617.7374113,9.365975308269303e-06,63.298567322567756,5.949306210107667,0.21732375999999998,30366.118475000003,212.68060690783852,261.92428641582376,261.9242864158237,212.68060690783852,9.365975308269303e-06,0.03135711848217048,1.0,5.949306210107667,91.06640118612155,5.949306210107667,122791.16561024683,3.3488381690479883,2.4000000000000004,0.13596989719999997,1.5999999999999992,1.4463999999999997,301.6131777496096,2038408324.683607,0.049662780904632824,0.7051436163853548,0.03501939292684633
Latvia,23728.51364,23712.09078,1960424,0.67361,14118.06391,4,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.2393699080806075,1.0,0.28485885926000004,1.2217364020461376,149.46935000538713,293023301.01496106,9.484460674654411e-07,1.8593564333648698,0.0,0.27573411999999997,118642.56820000001,149.46935000538713,182.61214589175654,182.61214589175654,149.46935000538713,9.484460674654411e-07,0.010850582741067647,0.9999999999999998,0.0,63.56631346467777,0.0,495645.2928913991,3.380024540974763,0.0,0.33506961199999996,0.9381249647231473,0.9381249647231473,235.85982087346068,462385253.4760333,0.009939932372159349,0.6337211206718323,0.006299145082287047
Lebanon,13267.8857,12974.16545,6006668,0.8791399999999999,7914.004677,4,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.375,0.1676576124167707,1.0,0.11787798387346045,1.1330859333408623,43.65384992989159,262214183.4506821,6.097451315716224e-07,3.662536569967053,3.4489836116366495,0.21107620600000004,66339.4285,43.65384992989159,49.46356329173315,49.46356329173316,43.65384992989159,6.097451315716224e-07,0.0010767425060111393,0.9999999999999998,3.4489836116366495,18.132280868782587,3.448983611636649,395683.96295117517,3.3982349112027244,2.4000000000000004,0.11801270911569799,2.6999999999999997,2.4408,63.404478119070255,380849649.7745195,0.004778792910393421,0.6884978983331741,0.0032901888753753424
Lesotho,2736.354895,2808.23633,2203821,0.2784,998.1343716,4,0.2,1.5,0.06,0.8,0.05,0.4,0.3416666666666667,0.1992120956582078,1.0,0.09297577183413126,1.1720934661943503,25.673707636572523,56580256.03733891,4.407214399394115e-06,9.71271164488714,0.43161675905739044,0.09669290799999997,13681.774475000002,25.67370763657253,30.091984973810654,30.09198497381066,25.673707636572523,4.407214399394115e-06,0.0030051733423963603,0.9999999999999998,0.4316167590573905,3.1581714077370036,0.4316167590573905,68679.43650607488,3.3946901350174534,1.6000000000000003,0.08792882277047559,3.266403415957444,3.0573535973361663,42.92319480737697,94595038.10358833,0.015686267481534764,0.5981313308989789,0.009382448045567761
Liberia,753.5573790000001,753.557379,4613823,0.501,455.3707414,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.4725120712732518,1.0,0.14343888455199996,1.509945862511259,2.323496269162182,10720200.527074663,2.914261756902853e-06,13.445887922018793,0.0,0.16959178000000003,3767.7868950000016,2.323496269162182,3.508353578181782,3.508353578181782,2.323496269162182,2.914261756902853e-06,0.002157145582374484,0.9999999999999998,0.0,0.8196052347159895,0.0,7973.948442940635,3.3957077288356605,0.0,0.13101331679999995,3.393739601658168,3.393739601658168,4.101817709814538,18925060.891349643,0.005443271904865174,0.5664552726472181,0.003083370070963344
Lithuania,27943.815119999996,27904.09625,2872298,0.6651199999999999,14879.6803,4,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.3129644244946807,1.0,0.3793593294000001,1.3127136649248614,75.53240769059445,216951583.5448791,3.6696986971430856e-07,1.0540468228406692,0.0,0.32180107999999996,139719.07559999995,75.53240769059445,99.15242372011905,99.15242372011905,75.53240769059445,3.6696986971430856e-07,0.0032372524178686094,0.9999999999999998,0.0,9.475402677593129,0.0,446437.56499031326,3.3937420943753445,0.0,0.44612350800000017,1.5235808,1.5235808,116.63270067054054,335003872.87059224,0.004173828812196227,0.6476091804129223,0.0027030098562502393
Luxembourg,94920.95872000002,97018.66364,582972,0.90432,102831.3215,4,0.2,1.5,0.06,0.8,0.05,0.0,0.5,0.24723066038615735,1.0,0.452519623488,1.2314538343192545,34.82718414613318,20303273.196039557,2.3866055623778512e-08,0.01391324217910541,0.0,0.6311182399999998,474604.7936000002,34.82718414613318,42.88806945529847,42.88806945529847,34.82718414613318,2.3866055623778512e-08,0.000346883264758932,0.9999999999999998,0.0,11.193402442321783,0.0,1919684.204453848,3.3993009695111036,0.0,0.4598118424,1.3390896000000003,1.3390896000000003,47.45393342783772,27664314.47829341,0.0004999310380736714,0.7339156447187714,0.0003669072101227632
