country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid
Montenegro,flood,500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,477.09832167927766,0.028588155768269327,0.014714745315298839,0.5,123.82598466796512,359.60717401296733,0.0
Montenegro,flood,1000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,615.0142229756939,0.036852199236931255,0.019131123596884368,0.5,123.82598466796512,463.72159307006643,0.0
Montenegro,flood,1500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,744.7728401112357,0.04462745098355089,0.023356046303347637,0.5,123.82598466796512,561.7473931383761,0.0
Montenegro,flood,2000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,surge,20.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,surge,50.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,surge,100.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,surge,250.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,surge,500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,surge,1000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
