country,hazard,rp,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Italy,surge,1000.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,surge,1500.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,surge,2000.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,tsunami,1.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,tsunami,20.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,tsunami,50.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,tsunami,100.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,tsunami,250.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,tsunami,500.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,tsunami,1000.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,tsunami,1500.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,tsunami,2000.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,wind,1.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,wind,20.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,wind,50.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,wind,100.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,wind,250.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,wind,500.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,wind,1000.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,wind,1500.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Italy,wind,2000.0,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2046119687179293,1.0,0.45754809499000004,1.1366097229815528,0.0,0.0,0.0,0.0,1715.8785930000004,0.0,0.0,
Japan,earthquake,1.0,37818.09076000001,38252.30114,37818.09076,35804.2312,126958472.0,0.07400000000000001,0.93498,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.210442533555454,1.0,0.2732124316091097,1.1421176477705022,107.13781802960379,0.002856466450575113,0.0,0.0,1890.9045380000005,24.454189689248444,24.454189689248444,8560.993140432269
Japan,earthquake,20.0,37818.09076000001,38252.30114,37818.09076,35804.2312,126958472.0,0.07400000000000001,0.93498,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.210442533555454,1.0,0.2732124316091097,1.1421176477705022,314.43666636328663,0.008383386975915714,0.0,0.0,1890.9045380000005,71.77011839440365,71.77011839440365,8560.99314043227
Japan,earthquake,50.0,37818.09076000001,38252.30114,37818.09076,35804.2312,126958472.0,0.07400000000000001,0.93498,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.210442533555454,1.0,0.2732124316091097,1.1421176477705022,765.3995546396958,0.020406782491214314,0.0,0.0,1890.9045380000005,174.70232492557903,174.70232492557903,8560.993140432269
Japan,earthquake,100.0,37818.09076000001,38252.30114,37818.09076,35804.2312,126958472.0,0.07400000000000001,0.93498,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.210442533555454,1.0,0.2732124316091097,1.1421176477705022,1386.711095556486,0.036971946917967395,0.0,0.0,1890.9045380000005,316.5165839531448,316.5165839531448,8560.993140432269
Japan,earthquake,250.0,37818.09076000001,38252.30114,37818.09076,35804.2312,126958472.0,0.07400000000000001,0.93498,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.210442533555454,1.0,0.2732124316091097,1.1421176477705022,2733.2601787864837,0.07287311002767675,0.0,0.0,1890.9045380000005,623.8661950689064,623.8661950689064,8560.993140432269
Japan,earthquake,500.0,37818.09076000001,38252.30114,37818.09076,35804.2312,126958472.0,0.07400000000000001,0.93498,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.210442533555454,1.0,0.2732124316091097,1.1421176477705022,4164.980883833162,0.1110450854867023,0.0,0.0,1890.9045380000005,950.6562151303731,950.6562151303731,8560.993140432269
Japan,earthquake,1000.0,37818.09076000001,38252.30114,37818.09076,35804.2312,126958472.0,0.07400000000000001,0.93498,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.210442533555454,1.0,0.2732124316091097,1.1421176477705022,6061.296121415349,0.16160389800957037,0.0,0.0,1890.9045380000005,1383.4898623270476,1383.4898623270476,8560.993140432269
