country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,aid,need
Angola,wind,20.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,wind,50.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,wind,100.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,wind,250.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,wind,500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,wind,1000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,wind,1500.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Angola,wind,2000.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,0.0,0.0,0.0,0.5,65.5201028984,0,0.0
Argentina,earthquake,20.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,170.028816778,0.00617518023711,0.000828473337127,0.133333333334,339.134929906,0,0.0
Argentina,earthquake,50.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,343.234346221,0.0124657337012,0.00168307863691,0.133333333334,339.134929906,0,0.0
Argentina,earthquake,100.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,511.747070819,0.0185858518456,0.00252504366691,0.133333333334,339.134929906,0,0.0
Argentina,earthquake,250.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,764.36896194,0.0277606831423,0.00380711246171,0.133333333334,339.134929906,0,0.0
Argentina,earthquake,500.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,960.535091547,0.0348851296314,0.00481947875878,0.133333333334,339.134929906,0,0.0
Argentina,earthquake,1000.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,1158.61646364,0.0420791347271,0.00585700917513,0.133333333334,339.134929906,0,0.0
Argentina,earthquake,1500.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,1274.98551105,0.0463054762105,0.00647383762906,0.133333333334,339.134929906,0,0.0
Argentina,earthquake,2000.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,0.0,0.0,0.0,0.133333333334,339.134929906,0,0.0
Argentina,flood,20.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,145.696127008,0.00536197758442,0.000718784450703,0.133333333334,339.134929906,0,0.0
Argentina,flood,50.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,270.94857711,0.00997157732899,0.0013429348223,0.133333333334,339.134929906,0,0.0
Argentina,flood,100.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,388.188755402,0.0142863056674,0.0019324483028,0.133333333334,339.134929906,0,0.0
Argentina,flood,250.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,580.407253305,0.021360421488,0.00291021971821,0.133333333334,339.134929906,0,0.0
Argentina,flood,500.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,766.872443253,0.0282228013557,0.00387232812831,0.133333333334,339.134929906,0,0.0
Argentina,flood,1000.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,999.294697312,0.0367765147726,0.0050907555497,0.133333333334,339.134929906,0,0.0
Argentina,flood,1500.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,1077.91903782,0.0396700848354,0.00550784117125,0.133333333334,339.134929906,0,0.0
Argentina,flood,2000.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,7.12498864639e-12,2.62290189568e-16,3.49720252757e-17,0.133333333334,339.134929906,0,0.0
Argentina,surge,20.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,0.0,0.0,0.0,0.133333333334,339.134929906,0,0.0
Argentina,surge,50.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,0.0,0.0,0.0,0.133333333334,339.134929906,0,0.0
Argentina,surge,100.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,0.0,0.0,0.0,0.133333333334,339.134929906,0,0.0
Argentina,surge,250.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,0.0,0.0,0.0,0.133333333334,339.134929906,0,0.0
Argentina,surge,500.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,0.0,0.0,0.0,0.133333333334,339.134929906,0,0.0
Argentina,surge,1000.0,18087.1962617,41446246.0,0.91893,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.151061906142,1.06857587515,0.0,0.0,0.0,0.133333333334,339.134929906,0,0.0
