country,hazard,rp,0
"Bahamas, The",wind,100,0.36280537
"Bahamas, The",wind,250,0.447178519
"Bahamas, The",wind,500,0.470817402
"Bahamas, The",wind,1000,0.518095169
"Bahamas, The",wind,1500,0.565372937
"Bahamas, The",wind,2000,0
Bahrain,earthquake,20,0.000444818
Bahrain,earthquake,50,0.000724907
Bahrain,earthquake,100,0.001070017
Bahrain,earthquake,250,0.001994242
Bahrain,earthquake,500,0.003313237
Bahrain,earthquake,1000,0.00526091
Bahrain,earthquake,1500,0.006724829
Bahrain,earthquake,2000,0
Bahrain,surge,20,0
Bahrain,surge,50,0
Bahrain,surge,100,0
Bahrain,surge,250,0
Bahrain,surge,500,0
Bahrain,surge,1000,0
Bahrain,surge,1500,0
Bahrain,surge,2000,0
Bahrain,tsunami,20,0
Bahrain,tsunami,50,0
Bahrain,tsunami,100,0
Bahrain,tsunami,250,0
Bahrain,tsunami,500,0
Bahrain,tsunami,1000,0
Bahrain,tsunami,1500,0
Bahrain,tsunami,2000,0
Bahrain,wind,20,0
Bahrain,wind,50,0
Bahrain,wind,100,0
Bahrain,wind,250,0
Bahrain,wind,500,0
Bahrain,wind,1000,0
Bahrain,wind,1500,0
Bahrain,wind,2000,0
Bangladesh,earthquake,20,0.000842273
Bangladesh,earthquake,50,0.00313917
Bangladesh,earthquake,100,0.006816838
Bangladesh,earthquake,250,0.015678548
Bangladesh,earthquake,500,0.026143716
Bangladesh,earthquake,1000,0.03920282
Bangladesh,earthquake,1500,0.048588346
Bangladesh,earthquake,2000,-1.08E-16
Bangladesh,flood,20,0.035561131
Bangladesh,flood,50,0.056083768
Bangladesh,flood,100,0.070588239
Bangladesh,flood,250,0.097562957
Bangladesh,flood,500,0.119815902
Bangladesh,flood,1000,0.142365047
Bangladesh,flood,1500,0.145875863
Bangladesh,flood,2000,-1.73E-15
Bangladesh,surge,20,0.000387094
Bangladesh,surge,50,0.000649342
Bangladesh,surge,100,0.000800719
Bangladesh,surge,250,0.00096822
Bangladesh,surge,500,0.001135432
Bangladesh,surge,1000,0.001211146
Bangladesh,surge,1500,0.001286861
Bangladesh,surge,2000,0
Bangladesh,tsunami,20,0
Bangladesh,tsunami,50,0
Bangladesh,tsunami,100,0
Bangladesh,tsunami,250,0
Bangladesh,tsunami,500,1.65E-05
Bangladesh,tsunami,1000,0.000343154
Bangladesh,tsunami,1500,0.000915602
Bangladesh,tsunami,2000,0.027356034
Bangladesh,wind,20,0.001187027
Bangladesh,wind,50,0.025445794
Bangladesh,wind,100,0.035511048
Bangladesh,wind,250,0.046695033
Bangladesh,wind,500,0.052046027
Bangladesh,wind,1000,0.061554956
Bangladesh,wind,1500,0.063138541
Bangladesh,wind,2000,0
Barbados,earthquake,20,0.002562605
Barbados,earthquake,50,0.013268265
Barbados,earthquake,100,0.03555231
Barbados,earthquake,250,0.088637481
Barbados,earthquake,500,0.140945392
Barbados,earthquake,1000,0.19821323
Barbados,earthquake,1500,0.228051865
Barbados,earthquake,2000,0
Barbados,surge,20,0.009017918
Barbados,surge,50,0.045580451
Barbados,surge,100,0.105711538
Barbados,surge,250,0.150206248
Barbados,surge,500,0.167895843
Barbados,surge,1000,0.189114095
Barbados,surge,1500,0.20948812
Barbados,surge,2000,8.67E-16
Barbados,tsunami,20,0
Barbados,tsunami,50,0
Barbados,tsunami,100,0
Barbados,tsunami,250,0
Barbados,tsunami,500,0
Barbados,tsunami,1000,0
Barbados,tsunami,1500,0
Barbados,tsunami,2000,0
Barbados,wind,20,0.005796317
Barbados,wind,50,0.039825455
Barbados,wind,100,0.072205322
Barbados,wind,250,0.123836426
Barbados,wind,500,0.153672924
Barbados,wind,1000,0.174106081
Barbados,wind,1500,0.194538525
Barbados,wind,2000,0
Belarus,earthquake,20,0
Belarus,earthquake,50,0
Belarus,earthquake,100,0
Belarus,earthquake,250,0
Belarus,earthquake,500,0
Belarus,earthquake,1000,0
Belarus,earthquake,1500,0
Belarus,earthquake,2000,0
Belarus,flood,20,0.010647278
Belarus,flood,50,0.018321993
Belarus,flood,100,0.02362915
Belarus,flood,250,0.035507044
Belarus,flood,500,0.038062221
Belarus,flood,1000,0.043172575
Belarus,flood,1500,0.046861378
Belarus,flood,2000,4.34E-16
Belarus,surge,20,0
Belarus,surge,50,0
Belarus,surge,100,0
Belarus,surge,250,0
Belarus,surge,500,0
Belarus,surge,1000,0
Belarus,surge,1500,0
Belarus,surge,2000,0
Belarus,tsunami,20,0
Belarus,tsunami,50,0
Belarus,tsunami,100,0
Belarus,tsunami,250,0
Belarus,tsunami,500,0
Belarus,tsunami,1000,0
Belarus,tsunami,1500,0
Belarus,tsunami,2000,0
Belarus,wind,20,0
Belarus,wind,50,0
Belarus,wind,100,0
Belarus,wind,250,0
Belarus,wind,500,0
Belarus,wind,1000,0
Belarus,wind,1500,0
Belarus,wind,2000,0
Belgium,earthquake,20,0.000165818
Belgium,earthquake,50,0.000554376
Belgium,earthquake,100,0.001445412
Belgium,earthquake,250,0.004173007
Belgium,earthquake,500,0.008140294
Belgium,earthquake,1000,0.014525258
Belgium,earthquake,1500,0.019573765
Belgium,earthquake,2000,0
Belgium,flood,20,2.90E-05
Belgium,flood,50,0.000277084
Belgium,flood,100,0.001186804
Belgium,flood,250,0.003007277
Belgium,flood,500,0.006652999
Belgium,flood,1000,0.009826063
Belgium,flood,1500,0.011360564
Belgium,flood,2000,1.36E-17
Belgium,surge,20,0
Belgium,surge,50,0
Belgium,surge,100,0
Belgium,surge,250,0
Belgium,surge,500,0
Belgium,surge,1000,0
Belgium,surge,1500,0
Belgium,surge,2000,0
Belgium,tsunami,20,0
Belgium,tsunami,50,0
Belgium,tsunami,100,0
Belgium,tsunami,250,0
Belgium,tsunami,500,0
Belgium,tsunami,1000,0
Belgium,tsunami,1500,0
Belgium,tsunami,2000,0
Belgium,wind,20,0
Belgium,wind,50,0
Belgium,wind,100,0
Belgium,wind,250,0
Belgium,wind,500,0
Belgium,wind,1000,0
Belgium,wind,1500,0
Belgium,wind,2000,0
Belize,earthquake,20,0.001045971
Belize,earthquake,50,0.003686756
Belize,earthquake,100,0.007438572
Belize,earthquake,250,0.015709584
Belize,earthquake,500,0.025555391
Belize,earthquake,1000,0.039411587
Belize,earthquake,1500,0.049852947
Belize,earthquake,2000,0
Belize,flood,20,0.046240637
Belize,flood,50,0.060982107
Belize,flood,100,0.078773578
Belize,flood,250,0.094005854
Belize,flood,500,0.138850702
Belize,flood,1000,0.180834541
Belize,flood,1500,0.180834542
Belize,flood,2000,1.73E-15
Belize,surge,20,0.010386309
Belize,surge,50,0.033747996
Belize,surge,100,0.08180928
Belize,surge,250,0.108068657
Belize,surge,500,0.11631965
Belize,surge,1000,0.123352846
Belize,surge,1500,0.130384373
Belize,surge,2000,0
Belize,tsunami,20,0
Belize,tsunami,50,0
Belize,tsunami,100,0
