country,hazard,0
New Zealand,earthquake,3.35586761904e-05
New Zealand,tsunami,3.22051478215e-05
New Zealand,flood,0.000553902060453
New Zealand,surge,0.000475824070737
New Zealand,wind,1.54478781236e-06
Nicaragua,earthquake,0.00201535561992
Nicaragua,tsunami,0.0
Nicaragua,flood,0.000925117724566
Nicaragua,surge,3.69713513724e-05
Nicaragua,wind,7.00509815477e-05
Niger,earthquake,0.0
Niger,tsunami,0.0
Niger,flood,0.00168428498448
Niger,surge,0.0
Niger,wind,0.0
Nigeria,earthquake,3.48630981538e-05
Nigeria,tsunami,0.0
Nigeria,flood,0.00117095417462
Nigeria,surge,0.0
Nigeria,wind,0.0
Norway,earthquake,5.35766000579e-06
Norway,tsunami,0.0
Norway,flood,0.0
Norway,surge,0.0
Norway,wind,0.0
Oman,earthquake,0.000214136885659
Oman,tsunami,0.0
Oman,flood,7.15929177323e-05
Oman,surge,7.86040862275e-05
Oman,wind,4.4288860142e-05
Pakistan,earthquake,0.000541561161276
Pakistan,tsunami,0.0
Pakistan,flood,0.00190226219483
Pakistan,surge,3.60310862676e-05
Pakistan,wind,1.49300081219e-05
Palau,earthquake,0.000166652351657
Palau,tsunami,7.69164699955e-05
Palau,flood,0.0
Palau,surge,0.00119220528493
Palau,wind,0.0152294610591
Panama,earthquake,0.00108551813742
Panama,tsunami,5.93486089167e-06
Panama,flood,0.00017523879795
Panama,surge,0.0
Panama,wind,0.0
Papua New Guinea,earthquake,0.00156514859234
Papua New Guinea,tsunami,1.25484124131e-05
Papua New Guinea,flood,0.00183738533622
Papua New Guinea,surge,1.19103575447e-05
Papua New Guinea,wind,1.85035911855e-05
Paraguay,earthquake,0.0
Paraguay,tsunami,0.0
Paraguay,flood,0.000854069306439
Paraguay,surge,0.0
Paraguay,wind,0.0
Peru,earthquake,0.00530018993421
Peru,tsunami,9.9950169352e-06
Peru,flood,0.000435144328333
Peru,surge,0.0
Peru,wind,0.0
Philippines,earthquake,0.00124078179872
Philippines,tsunami,5.40260235048e-05
Philippines,flood,0.00089373118217
Philippines,surge,0.00448297818675
Philippines,wind,0.00718143960039
Poland,earthquake,0.000116930489497
Poland,tsunami,0.0
Poland,flood,0.000310902199762
Poland,surge,0.0
Poland,wind,0.0
Portugal,earthquake,6.9711857655e-06
Portugal,tsunami,0.0
Portugal,flood,9.86778458562e-05
Portugal,surge,0.0
Portugal,wind,0.0
Puerto Rico,earthquake,0.0013675249971
Puerto Rico,tsunami,1.41682430606e-05
Puerto Rico,flood,3.08072424044e-05
Puerto Rico,surge,0.00123549395823
Puerto Rico,wind,0.0155775392812
Qatar,earthquake,0.000244711259919
Qatar,tsunami,0.0
Qatar,flood,1.120326239e-07
Qatar,surge,0.0
Qatar,wind,0.0
"Korea, Rep.",earthquake,8.21146138013e-06
"Korea, Rep.",tsunami,0.0
"Korea, Rep.",flood,0.000372437077962
"Korea, Rep.",surge,0.00138822987759
"Korea, Rep.",wind,1.15823493302e-05
Moldova,earthquake,8.38203105794e-05
Moldova,tsunami,0.0
Moldova,flood,0.00251046272958
Moldova,surge,0.0
Moldova,wind,0.0
Romania,earthquake,0.000460034875121
Romania,tsunami,0.0
Romania,flood,0.000807382440431
Romania,surge,0.0
Romania,wind,0.0
Russian Federation,earthquake,4.69380109046e-05
Russian Federation,tsunami,0.0
Russian Federation,flood,0.000655146629907
Russian Federation,surge,0.0
Russian Federation,wind,0.0
Rwanda,earthquake,0.000960795308167
Rwanda,tsunami,0.0
Rwanda,flood,0.00170336581448
Rwanda,surge,0.0
Rwanda,wind,0.0
St. Kitts and Nevis,earthquake,0.00648336843334
St. Kitts and Nevis,tsunami,0.0
St. Kitts and Nevis,flood,0.0
St. Kitts and Nevis,surge,0.00401258736497
St. Kitts and Nevis,wind,0.00945511495455
St. Lucia,earthquake,0.00150512366703
St. Lucia,tsunami,0.0
St. Lucia,flood,0.0
St. Lucia,surge,0.00632092449098
St. Lucia,wind,0.00607403661674
St. Vincent and the Grenadines,earthquake,0.00105465693409
St. Vincent and the Grenadines,tsunami,0.0
St. Vincent and the Grenadines,flood,0.0
St. Vincent and the Grenadines,surge,0.00571178002654
St. Vincent and the Grenadines,wind,0.0024873271062
San Marino,earthquake,0.0014619630311
San Marino,tsunami,0.0
San Marino,flood,0.0
San Marino,surge,0.0
San Marino,wind,0.0
Sao Tome and Principe,earthquake,2.82658877844e-05
Sao Tome and Principe,tsunami,0.0
Sao Tome and Principe,flood,0.0
Sao Tome and Principe,surge,0.0
Sao Tome and Principe,wind,0.0
Saudi Arabia,earthquake,7.59963015196e-05
Saudi Arabia,tsunami,0.0
Saudi Arabia,flood,3.49020743245e-05
Saudi Arabia,surge,0.0
Saudi Arabia,wind,0.0
Senegal,earthquake,2.23573094252e-05
Senegal,tsunami,0.0
Senegal,flood,0.000398752518735
Senegal,surge,0.0
Senegal,wind,0.0
Serbia,earthquake,0.000582198711731
Serbia,tsunami,0.0
Serbia,flood,0.00272483652377
Serbia,surge,0.0
Serbia,wind,0.0
Seychelles,earthquake,0.0
Seychelles,tsunami,0.0
Seychelles,flood,0.0
Seychelles,surge,0.0
Seychelles,wind,0.0
Sierra Leone,earthquake,3.29834884657e-05
Sierra Leone,tsunami,0.0
Sierra Leone,flood,0.00254632530955
Sierra Leone,surge,0.0
Sierra Leone,wind,0.0
Singapore,earthquake,0.0
Singapore,tsunami,0.0
Singapore,flood,0.0
Singapore,surge,0.0
Singapore,wind,0.0
Slovak Republic,earthquake,0.000146992523802
Slovak Republic,tsunami,0.0
Slovak Republic,flood,0.00101214369924
Slovak Republic,surge,0.0
Slovak Republic,wind,0.0
Slovenia,earthquake,0.001137884203
Slovenia,tsunami,0.0
Slovenia,flood,0.000211651179414
Slovenia,surge,0.0
Slovenia,wind,0.0
Solomon Islands,earthquake,0.000977400655752
Solomon Islands,tsunami,3.51972535312e-05
Solomon Islands,flood,0.0
Solomon Islands,surge,0.00498718007727
Solomon Islands,wind,0.0057506897308
Somalia,earthquake,2.49675421951e-05
Somalia,tsunami,0.0
Somalia,flood,0.00294616997903
Somalia,surge,0.0
Somalia,wind,0.0
South Africa,earthquake,0.000468675215341
South Africa,tsunami,0.0
South Africa,flood,0.000594099076275
South Africa,surge,0.0
South Africa,wind,0.0
South Sudan,earthquake,0.00019540742448
South Sudan,tsunami,0.0
