province,hazard,rp,fa
Cagayan,flood,50,0.10656465111480351
Cagayan,flood,100,0.19743544940318336
Cagayan,flood,200,0.28753025701433216
Cagayan,flood,250,0.3075816289054901
Cagayan,flood,500,0.40646052077396017
Cagayan,flood,1000,0.5184151576121466
Cagayan,surge,10,0.0353060963528884
Cagayan,surge,25,0.04596452161531287
Cagayan,surge,30,0.047491408966908635
Cagayan,surge,50,0.0523411446216274
Cagayan,surge,100,0.058784537147962654
Cagayan,surge,200,0.06526876538947521
Cagayan,surge,250,0.06662026200366505
Cagayan,surge,500,0.07107882680639613
Cagayan,surge,1000,0.07831040691132254
Cagayan,wind,10,0.30224279399085335
Cagayan,wind,25,0.6528395443377869
Cagayan,wind,30,0.7411920035605343
Cagayan,wind,50,1.0440704309226692
Cagayan,wind,100,1.541991773348723
Cagayan,wind,200,2.02956232652523
Cagayan,wind,250,2.169982493871696
Cagayan,wind,500,3.0665052401413657
Cagayan,wind,1000,3.5193585256648916
Camarines Norte,earthquake,10,0.00016294457027569363
Camarines Norte,earthquake,25,0.008134650349980546
Camarines Norte,earthquake,30,0.012126415126783365
Camarines Norte,earthquake,50,0.03387620663740783
Camarines Norte,earthquake,100,0.11661216438479903
Camarines Norte,earthquake,200,0.2525303828885723
Camarines Norte,earthquake,250,0.31577884300905645
Camarines Norte,earthquake,500,0.47170384203562554
Camarines Norte,earthquake,1000,0.6682471974558364
Camarines Norte,flood,10,0.004236009515548584
Camarines Norte,flood,25,0.014165368771670298
Camarines Norte,flood,30,0.017502745828474563
Camarines Norte,flood,50,0.030769359561899065
Camarines Norte,flood,100,0.054173975933826585
Camarines Norte,flood,200,0.09172657841312053
Camarines Norte,flood,250,0.10214895525960901
Camarines Norte,flood,500,0.1316656991707473
Camarines Norte,flood,1000,0.1824948123318389
Camarines Norte,surge,10,0.10054918189066925
Camarines Norte,surge,25,0.14012406309662928
Camarines Norte,surge,30,0.149311832392821
Camarines Norte,surge,50,0.1724933714901165
Camarines Norte,surge,100,0.20806279092885266
Camarines Norte,surge,200,0.24584314716310088
Camarines Norte,surge,250,0.2552796766284025
Camarines Norte,surge,500,0.30064411172614647
Camarines Norte,surge,1000,0.3384589737522425
Camarines Norte,wind,10,0.05687073873720327
Camarines Norte,wind,25,0.21784780528978895
Camarines Norte,wind,30,0.26386664108937774
Camarines Norte,wind,50,0.45624551963604293
Camarines Norte,wind,100,0.8441379923904417
Camarines Norte,wind,200,1.5850460553521555
Camarines Norte,wind,250,1.8666558406059093
Camarines Norte,wind,500,2.8318764957079545
Camarines Norte,wind,1000,4.131905854295942
Camarines Sur,earthquake,10,0.0011990835992043178
Camarines Sur,earthquake,25,0.016449061291476663
Camarines Sur,earthquake,30,0.023120848624069427
Camarines Sur,earthquake,50,0.06388792288066499
Camarines Sur,earthquake,100,0.16425654615356677
Camarines Sur,earthquake,200,0.32091785772167003
Camarines Sur,earthquake,250,0.4110915886464629
Camarines Sur,earthquake,500,0.6803537316391276
Camarines Sur,earthquake,1000,0.8960061011681426
Camarines Sur,flood,10,0.012838369093123626
Camarines Sur,flood,25,0.027062963669351014
Camarines Sur,flood,30,0.030624154753131398
Camarines Sur,flood,50,0.044070143200345524
Camarines Sur,flood,100,0.08342851505456217
Camarines Sur,flood,200,0.12979583123383387
Camarines Sur,flood,250,0.13622870424946104
Camarines Sur,flood,500,0.1930213502915197
Camarines Sur,flood,1000,0.24864063964956126
Camarines Sur,surge,10,0.01741982452120414
Camarines Sur,surge,25,0.0312578279766118
Camarines Sur,surge,30,0.036201353902722035
Camarines Sur,surge,50,0.050298146235569184
Camarines Sur,surge,100,0.06825055294258704
Camarines Sur,surge,200,0.07945686875829133
Camarines Sur,surge,250,0.08394026652965833
Camarines Sur,surge,500,0.09558573237427685
Camarines Sur,surge,1000,0.10221359461148294
Camarines Sur,wind,10,0.052085424025405704
Camarines Sur,wind,25,0.17672794409601475
Camarines Sur,wind,30,0.2185245935976105
Camarines Sur,wind,50,0.3425171922245581
Camarines Sur,wind,100,0.627665292487174
Camarines Sur,wind,200,1.2109347394345868
Camarines Sur,wind,250,1.5055009505963775
Camarines Sur,wind,500,2.5912525980163825
Camarines Sur,wind,1000,3.5114393171175977
Camiguin,earthquake,10,0.0
Camiguin,earthquake,25,0.0003721373178784886
Camiguin,earthquake,30,0.0006491893436266459
Camiguin,earthquake,50,0.005046820545113107
Camiguin,earthquake,100,0.01937688768133878
