province,income_cat,n,c,social,axfin,gamma_SP,k,fa,v,shew
Isabela,nonpoor,0.8095602000000001,211.37736001533565,0.15479544905348422,0.22188520000000003,1.1580025144474642,768.4364330752528,0.42836751611686696,0.12321126964883378,0.06234780896722515
Isabela,poor,0.19043979999999996,87.82874981646258,0.10562873671941533,0.0353108,0.32833080481815186,337.8642094408969,0.4276592871379262,0.1586460811088597,0.01604851261269197
Isabela City,nonpoor,0.8452676,222.52557253457204,0.07708838883407867,0.22188520000000003,1.047983073862506,816.0415506186152,,0.1377249185754712,
Isabela City,poor,0.1547324,100.91657509477982,0.1196844024002848,0.0353108,0.73787947653896,352.9987237943194,,0.18272090988626422,
Kalinga,nonpoor,0.7913827999999999,225.65040645201393,0.11519985986340482,0.22188520000000003,1.14732886828965,825.2730615058217,0.5310888255125344,0.11854798607657882,0.21525360517155653
Kalinga,poor,0.20861720000000003,80.65555800518746,0.1239125447388509,0.0353108,0.4411125625888262,292.07751711108097,0.5294339102881587,0.14399316199009668,0.22258901202546572
La Union,nonpoor,0.8466025,236.04208559143606,0.26516174272629905,0.22188520000000003,1.1543681088564102,853.5622536418576,0.5914741241820873,0.11428825330854206,0.10158727988625181
La Union,poor,0.1533975,70.32231853165321,0.11414159411796382,0.0353108,0.148040698980694,306.5571791432892,0.5907983216584473,0.15145627405115825,0.0
Laguna,nonpoor,0.9537571,301.5304930912425,0.18508136534855105,0.22188520000000003,1.0407086518838333,1099.8387997792931,1.5956208462584858,0.10887247781340258,0.27172696553416864
Laguna,poor,0.0462429,97.44907819414817,0.0882581230781723,0.0353108,0.16038644276992833,397.67948504187433,1.5944813032202152,0.13321500206947054,0.08376579961157632
Lanao del Norte,nonpoor,0.5856534,275.1951062256809,0.2519750260567951,0.22188520000000003,1.5563801134178963,984.5730996920305,0.15852652063193587,0.11594696328878361,0.2714599898494334
Lanao del Norte,poor,0.4143466,66.6821074725012,0.14271056200380192,0.0353108,0.21359097645406896,273.41853494887425,0.15797106264758193,0.14629423720707796,0.038629842180774726
Lanao del Sur,nonpoor,0.32694559999999995,212.89135170079123,0.09237999703560196,0.22188520000000003,1.759778342941856,772.5175441940473,0.09889852323323117,0.12017293417081328,0.1264173260461701
