country,hazard,rp,income_cat,fa,shew,v
Angola,surge,1000.0,nonpoor,0.0,0.0,0.69372545386
Angola,surge,1500.0,nonpoor,0.0,0.0,0.695811321875
Angola,surge,2000.0,nonpoor,0.0,0.0,0.696856371102
Angola,tsunami,1.0,nonpoor,0.0,0.0,0.24407490807
Angola,tsunami,20.0,nonpoor,0.0,0.0,0.441704430903
Angola,tsunami,50.0,nonpoor,0.0,0.0,0.583731215101
Angola,tsunami,100.0,nonpoor,0.0,0.0,0.639491218128
Angola,tsunami,250.0,nonpoor,0.0,0.0,0.67520434548
Angola,tsunami,500.0,nonpoor,0.0,0.0,0.687501571652
Angola,tsunami,1000.0,nonpoor,0.0,0.0,0.69372545386
Angola,tsunami,1500.0,nonpoor,0.0,0.0,0.695811321875
Angola,tsunami,2000.0,nonpoor,0.0,0.0,0.696856371102
Angola,wind,1.0,nonpoor,0.0,0.0,0.24407490807
Angola,wind,20.0,nonpoor,0.0,0.0,0.441704430903
Angola,wind,50.0,nonpoor,0.0,0.0,0.583731215101
Angola,wind,100.0,nonpoor,0.0,0.0,0.639491218128
Angola,wind,250.0,nonpoor,0.0,0.0,0.67520434548
Angola,wind,500.0,nonpoor,0.0,0.0,0.687501571652
Angola,wind,1000.0,nonpoor,0.0,0.0,0.69372545386
Angola,wind,1500.0,nonpoor,0.0,0.0,0.695811321875
Angola,wind,2000.0,nonpoor,0.0,0.0,0.696856371102
Angola,earthquake,1.0,poor,1.7826629874e-05,0.0,0.10460353203
Angola,earthquake,20.0,poor,9.21165107164e-05,0.0,0.189301898959
Angola,earthquake,50.0,poor,0.000298353748606,0.0,0.250170520758
Angola,earthquake,100.0,poor,0.000568344647862,0.0,0.274067664912
Angola,earthquake,250.0,poor,0.00139638924964,0.0,0.28937329092
Angola,earthquake,500.0,poor,0.00278508120684,0.0,0.294643530708
Angola,earthquake,1000.0,poor,0.00535321589933,0.0,0.297310908797
Angola,earthquake,1500.0,poor,0.00754769724319,0.0,0.298204852232
Angola,earthquake,2000.0,poor,9.98859607611e-18,0.0,0.298652730472
Angola,flood,1.0,poor,0.00199898660228,0.0,0.10460353203
Angola,flood,20.0,poor,0.0270143606096,0.0,0.189301898959
Angola,flood,50.0,poor,0.0476052372615,0.0,0.250170520758
Angola,flood,100.0,poor,0.052822836562,0.0,0.274067664912
Angola,flood,250.0,poor,0.0584811716829,0.0,0.28937329092
Angola,flood,500.0,poor,0.0678229903519,0.0,0.294643530708
Angola,flood,1000.0,poor,0.0813753771812,0.0,0.297310908797
Angola,flood,1500.0,poor,0.0892084696316,0.0,0.298204852232
Angola,flood,2000.0,poor,-9.01370909908e-16,0.0,0.298652730472
Angola,surge,1.0,poor,0.0,0.0,0.10460353203
Angola,surge,20.0,poor,0.0,0.0,0.189301898959
Angola,surge,50.0,poor,0.0,0.0,0.250170520758
Angola,surge,100.0,poor,0.0,0.0,0.274067664912
Angola,surge,250.0,poor,0.0,0.0,0.28937329092
Angola,surge,500.0,poor,0.0,0.0,0.294643530708
Angola,surge,1000.0,poor,0.0,0.0,0.297310908797
Angola,surge,1500.0,poor,0.0,0.0,0.298204852232
Angola,surge,2000.0,poor,0.0,0.0,0.298652730472
Angola,tsunami,1.0,poor,0.0,0.0,0.10460353203
Angola,tsunami,20.0,poor,0.0,0.0,0.189301898959
Angola,tsunami,50.0,poor,0.0,0.0,0.250170520758
Angola,tsunami,100.0,poor,0.0,0.0,0.274067664912
Angola,tsunami,250.0,poor,0.0,0.0,0.28937329092
Angola,tsunami,500.0,poor,0.0,0.0,0.294643530708
Angola,tsunami,1000.0,poor,0.0,0.0,0.297310908797
Angola,tsunami,1500.0,poor,0.0,0.0,0.298204852232
Angola,tsunami,2000.0,poor,0.0,0.0,0.298652730472
Angola,wind,1.0,poor,0.0,0.0,0.10460353203
Angola,wind,20.0,poor,0.0,0.0,0.189301898959
Angola,wind,50.0,poor,0.0,0.0,0.250170520758
Angola,wind,100.0,poor,0.0,0.0,0.274067664912
Angola,wind,250.0,poor,0.0,0.0,0.28937329092
Angola,wind,500.0,poor,0.0,0.0,0.294643530708
Angola,wind,1000.0,poor,0.0,0.0,0.297310908797
Angola,wind,1500.0,poor,0.0,0.0,0.298204852232
Angola,wind,2000.0,poor,0.0,0.0,0.298652730472
Antigua and Barbuda,earthquake,1.0,nonpoor,0.00366215187213,0.0,0.266385883035
Antigua and Barbuda,earthquake,20.0,nonpoor,0.0307032470915,0.0,0.482080791495
Antigua and Barbuda,earthquake,50.0,nonpoor,0.0674742142733,0.0,0.637090295021
Antigua and Barbuda,earthquake,100.0,nonpoor,0.101930196215,0.0,0.697947339942
Antigua and Barbuda,earthquake,250.0,nonpoor,0.153247438791,0.0,0.736925017085
Antigua and Barbuda,earthquake,500.0,nonpoor,0.196432019448,0.0,0.750346337116
Antigua and Barbuda,earthquake,1000.0,nonpoor,0.236926549748,0.0,0.757139146631
Antigua and Barbuda,earthquake,1500.0,nonpoor,0.264752213926,0.0,0.75941568459
Antigua and Barbuda,earthquake,2000.0,nonpoor,0.0,0.0,0.760556262142
Antigua and Barbuda,surge,1.0,nonpoor,0.00654817553658,0.0,0.266385883035
Antigua and Barbuda,surge,20.0,nonpoor,0.0905045581767,0.0,0.482080791495
Antigua and Barbuda,surge,50.0,nonpoor,0.170023308342,0.0,0.637090295021
Antigua and Barbuda,surge,100.0,nonpoor,0.241249729388,0.0,0.697947339942
Antigua and Barbuda,surge,250.0,nonpoor,0.337053635977,0.0,0.736925017085
Antigua and Barbuda,surge,500.0,nonpoor,0.383162653246,0.0,0.750346337116
Antigua and Barbuda,surge,1000.0,nonpoor,0.445874665598,0.0,0.757139146631
Antigua and Barbuda,surge,1500.0,nonpoor,0.456277769401,0.0,0.75941568459
Antigua and Barbuda,surge,2000.0,nonpoor,4.42311932975e-15,0.0,0.760556262142
Antigua and Barbuda,tsunami,1.0,nonpoor,0.0,0.0,0.266385883035
Antigua and Barbuda,tsunami,20.0,nonpoor,0.0,0.0,0.482080791495
Antigua and Barbuda,tsunami,50.0,nonpoor,0.0,0.0,0.637090295021
Antigua and Barbuda,tsunami,100.0,nonpoor,0.0,0.0,0.697947339942
Antigua and Barbuda,tsunami,250.0,nonpoor,0.0,0.0,0.736925017085
Antigua and Barbuda,tsunami,500.0,nonpoor,0.00051467268623,0.0,0.750346337116
Antigua and Barbuda,tsunami,1000.0,nonpoor,0.00221913526654,0.0,0.757139146631
Antigua and Barbuda,tsunami,1500.0,nonpoor,0.00387984025004,0.0,0.75941568459
Antigua and Barbuda,tsunami,2000.0,nonpoor,0.0173224518146,0.0,0.760556262142
Antigua and Barbuda,wind,1.0,nonpoor,0.0182451017629,0.0,0.266385883035
Antigua and Barbuda,wind,20.0,nonpoor,0.1826712971,0.0,0.482080791495
Antigua and Barbuda,wind,50.0,nonpoor,0.636810557388,0.0,0.637090295021
Antigua and Barbuda,wind,100.0,nonpoor,0.794810904671,0.0,0.697947339942
Antigua and Barbuda,wind,250.0,nonpoor,0.9,0.0,0.736925017085
Antigua and Barbuda,wind,500.0,nonpoor,0.0,0.0,0.750346337116
