country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Ghana,poor,0.2,1035.741067236449,0.1174127,0.9506412457516,1148.3643483644419,0.004516545514016986,0.6999999999999997,0.8000000000000004
Greece,nonpoor,0.8,29063.489694165055,0.16323,1.1955833087292675,121242.65687013531,0.06235123548614488,0.14181598750000002,1.0
Greece,poor,0.2,6831.227858236783,0.0654293,0.2176667650829293,34832.898066546186,0.06248696275522348,0.44601325999999997,1.0
Guatemala,nonpoor,0.8,8715.326002838814,0.2047981,1.1131708892063183,13499.140577840733,0.05832172688913437,0.09999999999999998,0.4000000000000002
Guatemala,poor,0.2,1403.4458184119924,0.06985804,0.5473164431747259,2005.3441492783859,0.06373993599691888,0.5837106449697208,0.4000000000000002
Guinea,nonpoor,0.8,1312.0547083917015,0.044386400000000006,1.2251316483513304,3719.530593705743,0.00807990587478559,0.6849999999999998,0.6000000000000002
Guinea,poor,0.2,429.2139158563939,0.0054247290000000005,0.09947340659467711,1293.6980844480938,0.009834856213585992,0.6999999999999997,0.6000000000000002
Honduras,nonpoor,0.8,5795.935782293967,0.1964441,1.1779821244287851,16011.297353864113,0.050769363552309855,0.391375828971834,0.4000000000000002
Honduras,poor,0.2,741.688376681581,0.06635397999999999,0.28807150228485867,1757.6495683326207,0.05231469974222281,0.6999999999999998,0.4000000000000002
Hungary,nonpoor,0.8,28206.848394712128,0.2304348,1.0899740897623416,136133.11030558957,0.03151808663207274,0.43510499999999996,1.0
Hungary,poor,0.2,9545.050649837509,0.1423596,0.640103640950634,8514.829468884118,0.038893135854458666,0.6999999999999998,1.0
India,nonpoor,0.8,6575.332786893898,0.1883363,1.0763536443122592,14651.72406677894,0.004774444032211306,0.52231544875,0.8000000000000004
India,poor,0.2,2349.3563770165556,0.07480032,0.694585422750963,4705.319777072395,0.005102443523595284,0.6999999999999998,0.8000000000000004
Indonesia,nonpoor,0.8,11991.153941651106,0.3511817,1.074307632268649,39071.01946255039,0.02041678224689831,0.19760155000000001,0.8000000000000004
Indonesia,poor,0.2,3962.0008476690673,0.1379658,0.7027694709254048,11233.66375876134,0.020084744577681266,0.3,0.8000000000000004
"Iran, Islamic Rep.",nonpoor,0.8,19228.619871024126,0.2603003,1.0819960046775345,61162.483519390924,0.013984715800546556,0.27298385870631203,0.4000000000000002
"Iran, Islamic Rep.",poor,0.2,5620.641756483498,0.1516682,0.6720159812898618,14898.408431445785,0.014391569163423669,0.6999999999999998,0.4000000000000002
Iraq,nonpoor,0.8,15980.262117371063,0.03651581,1.1249677718440037,27405.538359246544,0.016127135024084662,0.6,0.6000000000000002
Iraq,poor,0.2,6167.820466353744,0.0331376,0.5001289126239853,10374.032717812172,0.019310382573519726,0.6999999999999997,0.6000000000000002
Ireland,nonpoor,0.8,59859.23967620629,0.5566726999999999,1.0999612632122073,201470.63239563128,0.008710649143694535,0.2663043624999999,0.0
Ireland,poor,0.2,20059.040758516298,0.4005193,0.6001549471511698,27838.085748740283,0.009616310832162984,0.3000000000000001,0.0
Israel,nonpoor,0.8,37763.34414294308,0.6097891,1.0960112549559382,107188.98652582121,0.006028021494058481,0.5499999999999999,0.0
Israel,poor,0.2,7300.095041365662,0.4204639,0.6159549801762471,12982.03314519372,0.0060344844479071616,0.6999999999999998,0.0
Italy,nonpoor,0.8,39368.30611934607,0.4406689,1.168860482880991,192784.80668567042,0.013669581616366142,0.2394999999999999,1.0
Italy,poor,0.2,10462.388701014228,0.2017134,0.3245580684760357,49612.43422153326,0.013911564889837434,0.5700000000000001,1.0
Jamaica,nonpoor,0.8,10098.21325838262,0.3520919,1.1355691521456226,26700.784401149194,0.108649580106313,0.391375828971834,0.8000000000000004
Jamaica,poor,0.2,2251.628631936665,0.21472039999999998,0.45772339141751023,5121.958561180093,0.11004100847209294,0.6999999999999998,0.8000000000000004
Japan,nonpoor,0.8,41456.82419707608,0.6250876999999999,0.998137097978925,204264.9264828309,0.028275220159680696,0.20493824999999996,0.8000000000000004
Japan,poor,0.2,13193.859196046667,0.5732915,1.0074516080843,33629.32997679465,0.02928988943749268,0.3,0.8000000000000004
Jordan,nonpoor,0.8,11751.294714176998,0.05062747,1.1271200359591806,67184.52126573827,0.006521857701481985,0.5499999999999999,0.6000000000000002
Jordan,poor,0.2,4193.142520819502,0.01797048,0.49151985616327726,22620.48672747754,0.006549974182645562,0.6999999999999998,0.6000000000000002
Kazakhstan,nonpoor,0.8,27412.172503711783,0.1153157,1.0832643304578011,83084.44563662511,0.025108261000986613,0.12597759214313936,0.8000000000000004
Kazakhstan,poor,0.2,12115.540984427864,0.026057160000000003,0.6669426781687943,36007.65947007866,0.027314808722248948,0.43421459615058977,0.8000000000000004
Kenya,nonpoor,0.8,3456.556919567481,0.4164474000000001,1.204817190439214,7459.824753539066,0.005226871806975166,0.6,0.4000000000000002
Kenya,poor,0.2,678.8370282658753,0.13334829999999998,0.1807312382431439,1491.8227855369903,0.008557519313074297,0.6999999999999997,0.4000000000000002
Kyrgyz Republic,nonpoor,0.8,3643.3054837655154,0.0561118,1.097345866970866,7079.533804912742,0.06647820962827522,0.1573663400378202,0.8000000000000004
Kyrgyz Republic,poor,0.2,1551.166132056838,0.03731649,0.6106165321165352,2676.852342632242,0.06664069535348441,0.6695666402757435,0.8000000000000004
Lao PDR,nonpoor,0.8,6192.578869332033,0.2385275,1.2232898058414026,24840.945706918214,0.059175857197633665,0.3,0.6000000000000002
Lao PDR,poor,0.2,1936.224120869315,0.13250879999999998,0.10684077663438843,8629.180757011249,0.050538636796255865,0.3999999999999998,0.6000000000000002
Latvia,nonpoor,0.8,26492.24292826193,0.2983719,1.0582816989349626,114309.55268509642,0.050583010588628644,0.12597759214313936,0.0
Latvia,poor,0.2,7173.21461307626,0.185183,0.7668732042601492,15428.496755794244,0.04088045440363739,0.43421459615058977,0.0
Lesotho,nonpoor,0.8,3056.9089001503344,0.11368269999999997,1.2232867229656628,15335.101209610364,0.01215832387983704,0.6416008539893611,0.4000000000000002
Lesotho,poor,0.2,357.41544983231574,0.02873374,0.106853108137349,1833.7262746917518,0.011532244982997377,0.6999999999999997,0.4000000000000002
Liberia,nonpoor,0.8,919.7088895733511,0.2007491,1.2208885124035396,1933.9401715474698,0.010749051626176911,0.6734349004145419,0.0
Liberia,poor,0.2,255.74792651237573,0.0449625,0.1164459503858415,591.1873941067329,0.010780024133426424,0.6999999999999997,0.0
Lithuania,nonpoor,0.8,30848.039959349593,0.3604111,1.0598403648596018,103443.14244444855,0.01829078305715067,0.2625238,0.0
Lithuania,poor,0.2,8592.180559861625,0.16736099999999998,0.760638540561593,7950.572110824206,0.02030742655377743,0.4734920000000001,0.0
Luxembourg,nonpoor,0.8,108684.738107772,0.6614446999999999,1.1457612090995055,443427.2957987617,0.004738949276019652,0.259837,0.0
Luxembourg,poor,0.2,33024.069336813875,0.5098123999999999,0.41695516360197693,118301.38312099181,0.0050886269089664045,0.2999999999999999,0.0
"Macedonia, FYR",nonpoor,0.8,15048.519104874997,0.17958029999999994,1.101279339376685,58439.23822440921,0.02183451011532137,0.16786880000000004,0.6000000000000002
"Macedonia, FYR",poor,0.2,3429.2999883850016,0.07452800999999999,0.5948826424932592,7302.624006320468,0.02241046050873433,0.4472128,0.6000000000000002
Madagascar,nonpoor,0.8,1605.0958265939946,0.04567038,1.186002065708363,5449.9150234460485,0.03671708927912484,0.4424472127146907,0.4000000000000002
Madagascar,poor,0.2,446.3368073951215,0.01404179,0.2559917371665476,1550.7341656420713,0.03307692235005048,0.6999999999999998,0.4000000000000002
Malawi,nonpoor,0.8,1315.4118674053948,0.08640283,1.2003522506987678,5195.743355221917,0.024356985973086984,0.4424472127146907,0.8000000000000004
Malawi,poor,0.2,303.2890397613707,0.047268919999999985,0.19859099720492895,1206.1681521442183,0.024525360706689977,0.6999999999999998,0.8000000000000004
Malaysia,nonpoor,0.8,30192.46703065074,0.3924174,1.1143037927274357,121007.15640395635,0.01967015413930704,0.22297463449207036,1.0
Malaysia,poor,0.2,5770.228401499052,0.255594,0.5427848290902567,20931.82385079483,0.02164869305852967,0.39486964955708176,1.0
Mali,nonpoor,0.8,2628.9602891794043,0.04243126,1.2016336739452882,4073.495668330846,0.043385719074541314,0.10000000000000003,0.6000000000000002
Mali,poor,0.2,910.6949257746322,0.008713539000000001,0.19346530421884686,1453.3609596402882,0.024114158209995625,0.6492645999999999,0.6000000000000002
Mauritania,nonpoor,0.8,4322.367573747032,0.15244010000000002,1.1861049818949823,18129.848648509582,0.03855636320270323,0.10000000000000002,0.6000000000000002
Mauritania,poor,0.2,1178.2399111517225,0.03751141,0.2555800724200705,5041.492012845619,0.042640284696703674,0.5864441499999998,0.6000000000000002
Mauritius,nonpoor,0.8,21216.350530328633,0.4367753,1.1388627827718116,72537.16490751319,0.028022575061107655,0.3,0.8000000000000003
Mauritius,poor,0.2,6801.698895443443,0.2319739,0.4445488689127529,20784.5956418118,0.02874161965988645,0.2999999999999999,0.8000000000000003
Mexico,nonpoor,0.8,19624.93345544123,0.19560479999999997,1.1364852310268412,54193.834280193725,0.005817762740743109,0.3221211,0.8000000000000004
Mexico,poor,0.2,4009.97168776306,0.07032508,0.4540590758926353,7275.668362906073,0.005575255778309704,0.6999999999999998,0.8000000000000004
Moldova,nonpoor,0.8,5385.527292346333,0.09047662,1.1012349153659688,21352.262151640316,0.026193667160840962,0.4153083161363591,0.6000000000000002
Moldova,poor,0.2,2167.0138433654183,0.03550953,0.5950603385361246,6950.445397892385,0.02047097208838784,0.6999999999999998,0.6000000000000002
Mongolia,nonpoor,0.8,13241.72579474762,0.4111103,1.070612279963853,65149.715360377624,0.027644431232496297,0.12597759214313933,0.6000000000000002
Mongolia,poor,0.2,4387.621107951025,0.21726670000000006,0.7175508801445867,15575.726904825304,0.030339758902040624,0.4342145961505898,0.6000000000000002
Montenegro,nonpoor,0.8,17427.173048149507,0.07029511999999999,1.162960294993177,47718.821960393114,0.008600966327008023,0.4409824761499999,0.0
Montenegro,poor,0.2,5343.732648700453,0.02831399,0.34815882002729187,14806.025737439415,0.009961479284029573,0.6999999999999998,0.0
Morocco,nonpoor,0.8,8599.32055573374,0.1725484,1.0884125554991735,32277.08857220627,0.012765201524836343,0.21065281249999998,0.8000000000000004
Morocco,poor,0.2,2407.0000613951916,0.051415930000000006,0.6463497780033055,7579.9649197159515,0.014559196793342638,0.6999999999999998,0.8000000000000004
Namibia,nonpoor,0.8,11850.368052947513,0.3485483,1.1608065327214192,43336.93203706263,0.010978377099207392,0.6416008539893611,0.8000000000000004
Namibia,poor,0.2,1602.4275212710995,0.14453729999999998,0.3567738691143229,4736.445689453235,0.015684206914923175,0.6999999999999997,0.8000000000000004
Nepal,nonpoor,0.8,2650.5697753942895,0.2236811,1.1908797765317833,9605.975163722882,0.024632965575571042,0.39876587499999994,0.4000000000000002
Nepal,poor,0.2,964.6847884262874,0.08169342,0.23648089387286628,4385.106912444239,0.028774045268523826,0.6999999999999998,0.4000000000000002
Netherlands,nonpoor,0.8,52826.202251530565,0.6671163,1.1076029722207699,212190.62161311274,0.02118167433742814,0.25975719999999997,1.0
Netherlands,poor,0.2,20567.03232617474,0.485505,0.56958811111692,69469.48676913025,0.02321746454523971,0.2999999999999999,1.0
Niger,nonpoor,0.8,1021.5723980019148,0.02122553,1.142889581538699,4372.172618252851,0.02849766560276947,0.10399854999999997,0.6000000000000002
Niger,poor,0.2,400.68701061412537,0.017845970000000003,0.42844167384520415,1719.889085708435,0.01583924921885137,0.6999999999999998,0.6000000000000002
Nigeria,nonpoor,0.8,6670.098908253491,0.3224891,1.237513961041154,7630.853299683553,0.0055861798908962736,0.6734349004145419,0.8000000000000004
Nigeria,poor,0.2,1514.0412612203843,0.1970295,0.04994415583538376,1748.7956542262052,0.005387464363184326,0.6999999999999997,0.8000000000000004
Norway,nonpoor,0.8,73070.79815091885,0.8089856999999999,1.0877386609728694,221566.79712900173,0.0019247334748448358,0.12597759214313936,0.8000000000000003
Norway,poor,0.2,29969.500454401114,0.7495815,0.6490453561085219,72956.13196180934,0.0019247334748448358,0.43421459615058977,0.8000000000000003
Pakistan,nonpoor,0.8,5362.272042894091,0.04381021,1.1846056100441866,14131.228859126786,0.013033146262635966,0.5208940499999999,0.6000000000000002
Pakistan,poor,0.2,2275.1549116847395,0.01694613,0.26157755982325287,6451.32542754176,0.013851876487622983,0.6999999999999998,0.6000000000000002
Panama,nonpoor,0.8,25224.268717413528,0.2403679,1.179796922644527,46833.82427037374,0.006025499182392588,0.6764212741773349,0.6000000000000002
Panama,poor,0.2,3529.622366584878,0.1483164,0.280812309421891,5960.594063437374,0.007795030245329937,0.6999999999999997,0.6000000000000002
Paraguay,nonpoor,0.8,10344.333174500887,0.14778729999999998,1.160712358289676,28239.301024121673,0.011147640894023201,0.37198697499999994,0.8000000000000004
Paraguay,poor,0.2,1841.1054657770535,0.02127697,0.35715056684129576,4397.076991572908,0.012376719902910883,0.6999999999999998,0.8000000000000004
Peru,nonpoor,0.8,13943.833049017116,0.1674962,1.2027698982485908,51517.82982140427,0.0727516580763375,0.143717125,0.6000000000000002
Peru,poor,0.2,2585.379529440026,0.05837516,0.18892040700563642,9920.5305887244,0.07033121418878821,0.5818234999999999,0.6000000000000002
Philippines,nonpoor,0.8,8144.4130764959045,0.21633840000000001,1.188364219401599,29670.045929628748,0.029618055559154977,0.99,0.6000000000000002
Philippines,poor,0.2,2049.954311771078,0.04855937,0.24654312239360363,7856.25713057237,0.029291075428052968,0.99,0.6000000000000002
Poland,nonpoor,0.8,28551.969289314497,0.28244400000000003,1.1299861632687962,70264.43808981375,0.01843301163836057,0.12597759214313936,1.0
Poland,poor,0.2,9971.613064833986,0.09776094,0.48005534692481494,19471.52941521777,0.017508268391009624,0.4342145961505898,1.0
Portugal,nonpoor,0.8,31210.694550240933,0.3085544,1.1512159391683818,166245.41551224672,0.010536985575676576,0.10000000000000002,0.8000000000000004
Portugal,poor,0.2,8607.545904823262,0.160451,0.3951362433264725,36494.01907265331,0.01135823269155609,0.10499999999999998,0.8000000000000004
Romania,nonpoor,0.8,22687.7163369349,0.18426589999999998,1.1018483991293542,86744.85781689218,0.013806685513774924,0.3258363,0.8000000000000004
Romania,poor,0.2,8876.82742615391,0.055712230000000015,0.5926064034825833,25115.518837544598,0.014682306103507748,0.6999999999999998,0.8000000000000004
Russian Federation,nonpoor,0.8,28106.894852326976,0.18236010000000002,1.0931554982500353,82496.65491309551,0.01463214875734334,0.14391789639329458,0.0
Russian Federation,poor,0.2,7049.125595270101,0.11406239999999998,0.627378006999858,12193.690577402715,0.015014918818874208,0.6020671383191284,0.0
Rwanda,nonpoor,0.8,1962.831074652297,0.3914391,1.1876742357413905,2754.2027797007704,0.01993694180124056,0.6824999999999998,0.8000000000000004
Rwanda,poor,0.2,424.5524786746614,0.06397243000000001,0.2493030570344371,597.1860853531545,0.013295522386919287,0.7000000000000002,0.8000000000000004
Senegal,nonpoor,0.8,2686.2946753851456,0.1060924,1.2092686546112592,11780.276753713784,0.0032991123151414805,0.6849999999999998,0.6000000000000002
Senegal,poor,0.2,693.1635398268675,0.008773695,0.1629253815549628,3444.016442313939,0.002620537005402762,0.6999999999999997,0.6000000000000002
Serbia,nonpoor,0.8,14733.049459454138,0.11498039999999998,1.120313151049061,67794.07651390677,0.02964113603556061,0.44134872157499994,0.4000000000000002
Serbia,poor,0.2,5383.198689321451,0.0419454,0.518747395803756,21006.43090702423,0.03226617339977,0.6999999999999998,0.4000000000000002
Sierra Leone,nonpoor,0.8,1723.169855634915,0.1585936,1.1703817065457562,4233.041053181483,0.006766735730896622,0.6734349004145419,0.8000000000000004
