country,hazard,rp,fa
Bolivia,wind,100.0,0.0
Bolivia,wind,250.0,0.0
Bolivia,wind,500.0,0.0
Bolivia,wind,1000.0,0.0
Bolivia,wind,1500.0,0.0
Bolivia,wind,2000.0,0.0
Bosnia and Herzegovina,earthquake,1.0,0.00065554241619
Bosnia and Herzegovina,earthquake,20.0,0.00186718454089
Bosnia and Herzegovina,earthquake,50.0,0.00467076306294
Bosnia and Herzegovina,earthquake,100.0,0.00946666920449
Bosnia and Herzegovina,earthquake,250.0,0.0218832284906
Bosnia and Herzegovina,earthquake,500.0,0.0367478603391
Bosnia and Herzegovina,earthquake,1000.0,0.0564936948554
Bosnia and Herzegovina,earthquake,1500.0,0.069999185706
Bosnia and Herzegovina,earthquake,2000.0,0.0
Bosnia and Herzegovina,flood,1.0,0.00149935235549
Bosnia and Herzegovina,flood,20.0,0.0205269826622
Bosnia and Herzegovina,flood,50.0,0.0327970907141
Bosnia and Herzegovina,flood,100.0,0.0414048526141
Bosnia and Herzegovina,flood,250.0,0.0637953477084
Bosnia and Herzegovina,flood,500.0,0.0774329414606
Bosnia and Herzegovina,flood,1000.0,0.0906487153755
Bosnia and Herzegovina,flood,1500.0,0.0985209630761
Bosnia and Herzegovina,flood,2000.0,8.27750329876e-16
Bosnia and Herzegovina,surge,1.0,0.0
Bosnia and Herzegovina,surge,20.0,0.0
Bosnia and Herzegovina,surge,50.0,0.0
Bosnia and Herzegovina,surge,100.0,0.0
Bosnia and Herzegovina,surge,250.0,0.0
Bosnia and Herzegovina,surge,500.0,0.0
Bosnia and Herzegovina,surge,1000.0,0.0
Bosnia and Herzegovina,surge,1500.0,0.0
Bosnia and Herzegovina,surge,2000.0,0.0
Bosnia and Herzegovina,tsunami,1.0,0.0
Bosnia and Herzegovina,tsunami,20.0,0.0
Bosnia and Herzegovina,tsunami,50.0,0.0
Bosnia and Herzegovina,tsunami,100.0,0.0
Bosnia and Herzegovina,tsunami,250.0,0.0
Bosnia and Herzegovina,tsunami,500.0,0.0
Bosnia and Herzegovina,tsunami,1000.0,0.0
Bosnia and Herzegovina,tsunami,1500.0,0.0
Bosnia and Herzegovina,tsunami,2000.0,0.0
Bosnia and Herzegovina,wind,1.0,0.0
Bosnia and Herzegovina,wind,20.0,0.0
Bosnia and Herzegovina,wind,50.0,0.0
Bosnia and Herzegovina,wind,100.0,0.0
Bosnia and Herzegovina,wind,250.0,0.0
Bosnia and Herzegovina,wind,500.0,0.0
Bosnia and Herzegovina,wind,1000.0,0.0
Bosnia and Herzegovina,wind,1500.0,0.0
Bosnia and Herzegovina,wind,2000.0,0.0
Botswana,earthquake,1.0,0.000360585206268
Botswana,earthquake,20.0,0.00115724722181
Botswana,earthquake,50.0,0.00254206093527
Botswana,earthquake,100.0,0.00476616533186
Botswana,earthquake,250.0,0.0102839366358
Botswana,earthquake,500.0,0.0174083591981
Botswana,earthquake,1000.0,0.0274093495247
Botswana,earthquake,1500.0,0.0345574835606
Botswana,earthquake,2000.0,-1.5636797825e-16
Botswana,flood,1.0,0.00045123325282
Botswana,flood,20.0,0.00542373586287
Botswana,flood,50.0,0.00897705660977
Botswana,flood,100.0,0.0106413490936
Botswana,flood,250.0,0.0135271113763
Botswana,flood,500.0,0.0167166042796
Botswana,flood,1000.0,0.0219348274394
Botswana,flood,1500.0,0.0235127233164
Botswana,flood,2000.0,3.12735956499e-16
Botswana,surge,1.0,0.0
Botswana,surge,20.0,0.0
Botswana,surge,50.0,0.0
Botswana,surge,100.0,0.0
Botswana,surge,250.0,0.0
Botswana,surge,500.0,0.0
Botswana,surge,1000.0,0.0
Botswana,surge,1500.0,0.0
Botswana,surge,2000.0,0.0
Botswana,tsunami,1.0,0.0
Botswana,tsunami,20.0,0.0
Botswana,tsunami,50.0,0.0
Botswana,tsunami,100.0,0.0
Botswana,tsunami,250.0,0.0
Botswana,tsunami,500.0,0.0
Botswana,tsunami,1000.0,0.0
Botswana,tsunami,1500.0,0.0
Botswana,tsunami,2000.0,0.0
Botswana,wind,1.0,0.0
Botswana,wind,20.0,0.0
Botswana,wind,50.0,0.0
Botswana,wind,100.0,0.0
Botswana,wind,250.0,0.0
Botswana,wind,500.0,0.0
Botswana,wind,1000.0,0.0
