country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,fa_glofris,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
India,5243.957059713,1252139596.000000000,0.327470000,0.866666667,0.775000000,0.452530164,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.084795728,1.000000000,0.131336307,1.370809121,14.441414423,18082666821.504981995,0.000000893,1117.562863623,0.840794390,0.596982400,26219.785298563,14.441414423,19.796422611,19.796422611,14.441414423,0.000000893,0.002761942,5.000000000,0.840794390,0.840794390,57940.414519895,3.396051597,3.200000000,0.707241991,2.789261795,2.432236285,23.061183947,28875821550.057407379,0.004397668,0.626221726,0.002753915
Indonesia,9254.422179704,249865631.000000000,0.537420000,0.666666667,0.608333333,0.309976819,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.064494703,1.000000000,0.145419042,1.236144105,30.972157289,7738877624.561565399,0.000000743,185.733103825,0.970954632,0.900695870,46272.110898520,30.972157289,38.286049658,38.286049658,30.972157289,0.000000743,0.005661952,5.000000000,0.970954632,0.970954632,149276.036503191,3.391155199,3.200000000,0.789616431,1.090406200,0.950834206,45.028844451,11251160631.867706299,0.004865657,0.687829272,0.003346741
"Iran, Islamic Rep.",15090.047220075,77447168.000000000,0.733750000,0.600000000,0.416666667,0.317995177,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.043684338,1.000000000,0.162494018,1.243718760,105.029542380,8134240613.659092903,0.000001508,116.818626588,2.713473215,1.118323800,75450.236100374,105.029542380,130.627212233,130.627212233,105.029542380,0.000001508,0.007543804,5.000000000,2.713473215,2.713473215,237268.491611994,3.387833441,1.600000000,0.902270160,1.791935435,1.677251567,190.255531157,14734752084.409000397,0.012608014,0.552044620,0.006960186
Iraq,14471.473317625,33417476.000000000,0.694710000,0.200000000,0.250000000,0.584092471,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.240868888,1.000000000,0.100514752,1.495091298,75.173132156,2512096339.662784576,0.000001124,37.569001337,0.342581249,0.325862320,72357.366588125,75.173132156,112.390695752,112.390695752,75.173132156,0.000001124,0.005509632,5.000000000,0.342581249,0.342581249,123879.984976331,3.389873603,2.400000000,0.523122508,3.100000000,2.802400000,133.169162334,4450177286.237385750,0.009202184,0.564493542,0.005194574
Ireland,44647.235911142,4597558.000000000,0.632410000,0.000000000,0.350000000,0.311250549,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.035557921,1.000000000,0.558664762,1.237347353,32.895916205,151240882.714870661,0.000000069,0.316525732,0.000000000,2.591820500,223236.179555710,32.895916205,40.703674829,40.703674829,32.895916205,0.000000069,0.000871285,5.000000000,0.000000000,0.000000000,717223.407560393,3.398292818,0.000000000,2.979472662,1.365217450,1.365217450,44.199148591,203208149.196635753,0.000989964,0.744265834,0.000736796
Israel,30926.849094521,8059500.000000000,0.921400000,0.000000000,0.400000000,0.358478281,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.008807389,1.000000000,0.206761667,1.281961692,38.664444061,311616086.910525620,0.000000169,1.363020873,0.000000000,1.349424300,154634.245472604,38.664444061,49.566336115,49.566336115,38.664444061,0.000000169,0.000808479,5.000000000,0.000000000,0.000000000,431362.940274269,3.398378425,0.000000000,1.266052410,2.900000000,2.900000000,62.584041206,504396080.101238251,0.002023615,0.617800374,0.001250190
Italy,33923.559817118,60233948.000000000,0.689640000,0.866666667,0.716666667,0.204611969,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.047664685,1.000000000,0.432452610,1.136609723,195.933328739,11801837934.730882645,0.000000687,41.391298224,12.667196672,0.833983000,169617.799085591,195.933328739,222.699726501,222.699726501,195.933328739,0.000000687,0.004612140,5.000000000,12.667196672,12.667196672,828973.007534178,3.393414889,4.000000000,2.171012270,1.528000000,1.283520000,292.096620236,17594132634.246200562,0.008610435,0.670782594,0.005775730
Jamaica,8607.498562766,2714734.000000000,0.547880000,0.600000000,0.408333333,0.381009113,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.000596341,1.000000000,0.184768091,1.303245758,125.297522122,340149443.420651436,0.000004080,11.075375483,2.007055731,1.536552200,43037.492813831,125.297522122,163.293464190,163.293464190,125.297522122,0.000004080,0.015998737,5.000000000,2.007055731,2.007055731,112956.596816199,3.378267600,3.200000000,1.009899708,2.265503316,1.975518891,221.674128315,601786293.057151318,0.025753606,0.565232953,0.014556787
Japan,35614.310022683,127338621.000000000,0.934980000,0.800000000,0.816666667,0.210442534,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.073203193,1.000000000,0.265406008,1.142117648,233.222515063,29698233454.262248993,0.000000657,83.715347577,7.136733109,2.661711400,178071.550113415,233.222515063,266.367550311,266.367550311,233.222515063,0.000000657,0.007167923,5.000000000,7.136733109,7.136733109,846176.612231722,3.389465968,3.200000000,1.570398208,1.119753000,0.976424616,300.738477224,38295622971.398010254,0.008444316,0.775499421,0.006548562
Jordan,11404.738859537,6460000.000000000,0.836790000,0.466666667,0.425000000,0.175722722,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.003988063,1.000000000,0.217921391,1.109319091,25.089161047,162075980.364836335,0.000000414,2.672610422,0.388387311,0.516910520,57023.694297684,25.089161047,27.831885337,27.831885337,25.089161047,0.000000414,0.000690047,5.000000000,0.388387311,0.388387311,324509.508940268,3.398836205,2.400000000,1.109429210,2.900000000,2.621600000,34.284934264,221480675.345357001,0.003006201,0.731783846,0.002199889
